

💥暮雨｜直播,#genre#
暮雨直播,https://bfikuncdn.com/20230421/hBWOEiVC/index.m3u8
qq①群665170710,https://bfikuncdn.com/20221210/TyfKXxdC/index.m3u8
qq②群668522670,https://bfikuncdn.com/20221210/kxn48SfQ/index.m3u8
qq③群991710707,https://bfikuncdn.com/20221209/qR35tZJy/index.m3u8
更多稳定,https://bfikuncdn.com/20221107/q15BPKYT/index.m3u8
港澳台节目,https://bfikuncdn.com/20221107/JALlYaih/index.m3u8
请进内部群,https://bfikuncdn.com/20220928/c0JZuhqy/index.m3u8
进群方式,https://bfikuncdn.com/20221107/gfCfTpsA/index.m3u8
收费三十,https://bfikuncdn.com/20221107/ikfPyvqm/index.m3u8





💥暮雨｜首都,#genre#
http://114.254.83.83:2222/rtp/239.3.1.129:8008

http://123.116.119.30:8012/rtp/239.3.1.129:8008
CCTV-01北联,http://123.118.49.201:8686/rtp/239.3.1.129:8008
CCTV-02北联,http://123.118.49.201:8686/rtp/239.3.1.60:8084
CCTV-03北联,http://123.118.49.201:8686/rtp/239.3.1.172:8001
CCTV-04北联,http://123.118.49.201:8686/rtp/239.3.1.105:8092
CCTV-05北联,http://123.118.49.201:8686/rtp/239.3.1.173:8001
CCTV-5+北联,http://123.118.49.201:8686/rtp/239.3.1.130:8004
CCTV-06北联,http://123.118.49.201:8686/rtp/239.3.1.174:8001
CCTV-07北联,http://123.118.49.201:8686/rtp/239.3.1.61:8104
CCTV-08北联,http://123.118.49.201:8686/rtp/239.3.1.175:8001
CCTV-09北联,http://123.118.49.201:8686/rtp/239.3.1.62:8112
CCTV-10北联,http://123.118.49.201:8686/rtp/239.3.1.63:8116
CCTV-11北联,http://123.118.49.201:8686/rtp/239.3.1.152:8120
CCTV-12北联,http://123.118.49.201:8686/rtp/239.3.1.64:8124
CCTV-13北联,http://123.118.49.201:8686/rtp/239.3.1.124:8128
CCTV-14北联,http://123.118.49.201:8686/rtp/239.3.1.65:8132
CCTV-15北联,http://123.118.49.201:8686/rtp/239.3.1.153:8136
CCTV-16北联,http://123.118.49.201:8686/rtp/239.3.1.183:8001
CCTV-16北联,http://123.118.49.201:8686/rtp/239.3.1.184:8001
CCTV-17北联,http://123.118.49.201:8686/rtp/239.3.1.151:8144
CGTN-英北联,http://123.118.49.201:8686/rtp/239.3.1.215:4220
CGTN-记北联,http://123.118.49.201:8686/rtp/239.3.1.216:4220
CGTN-俄北联,http://123.118.49.201:8686/rtp/239.3.1.220:4220
CGTN-法北联,http://123.118.49.201:8686/rtp/239.3.1.218:4220
CGTN-西北联,http://123.118.49.201:8686/rtp/239.3.1.217:4220
CGTN-阿北联,http://123.118.49.201:8686/rtp/239.3.1.219:4220
国际欧洲北联,http://123.118.49.201:8686/rtp/239.3.1.213:4220
国际美洲北联,http://123.118.49.201:8686/rtp/239.3.1.214:4220
北京卫视北联,http://123.118.49.201:8686/rtp/239.3.1.241:8000
东方卫视北联,http://123.118.49.201:8686/rtp/239.3.1.136:8032
浙江卫视北联,http://123.118.49.201:8686/rtp/239.3.1.137:8036
江苏卫视北联,http://123.118.49.201:8686/rtp/239.3.1.135:8028
